Date	Open_BTC	High_BTC	Low_BTC	Close_BTC	Volume_BTC	Open_LTC	High_LTC	Low_LTC	Close_LTC	Volume_LTC	Open_ETH	High_ETH	Low_ETH	Close_ETH	Volume_ETH	Open_XRP	High_XRP	Low_XRP	Close_XRP	Volume_XRP	Open_BCH	High_BCH	Low_BCH	Close_BCH	Volume_BCH	Open_ADA	High_ADA	Low_ADA	Close_ADA	Volume_ADA	Open_XLM	High_XLM	Low_XLM	Close_XLM	Volume_XLM	Open_EOS	High_EOS	Low_EOS	Close_EOS	Volume_EOS	Open_XEM	High_XEM	Low_XEM	Close_XEM	Volume_XEM	Open_NEO	High_NEO	Low_NEO	Close_NEO	Volume_NEO	Open_IOT	High_IOT	Low_IOT	Close_IOT	Volume_IOT	Open_DASH	High_DASH	Low_DASH	Close_DASH	Volume_DASH	Open_XMR	High_XMR	Low_XMR	Close_XMR	Volume_XMR	Open_TRX	High_TRX	Low_TRX	Close_TRX	Volume_TRX	n-transactions	transactions-per-second	hash-rate	output-volume	mempool-size	market-cap	cost-per-transaction-percent	utxo-count	bitcoin-unlimited-share	n-transactions-excluding-popular	median-confirmation-time	n-orphaned-blocks	mempool-growth	cost-per-transaction	blocks-size	transaction-fees	estimated-transaction-volume-usd	avg-block-size	estimated-transaction-volume	mempool-count	nya-support	bip-9-segwit	miners-revenue	difficulty	trade-volume	total-bitcoins	n-unique-addresses	n-transactions-excluding-chains-longer-than-100	my-wallet-n-users	n-transactions-total	transaction-fees-usd	n-transactions-per-block
2015-01-01	318.23999	321.359985	313.540009	314.890015	4073067	2.71	2.72	2.67	2.69	623899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.6	1.6	1.6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2726154.0	0.0	0.0	0.0
2015-01-02	314.890015	316.399994	313.079987	315.209991	4673971	2.69	2.69	2.64	2.66	501070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.72	1.6	1.72	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72234.0	0.0	323243.6531007466	695649.94840863	0.0	4324528908.75	4.477311930218863	0.0	0.0	66773.0	6.933333333333334	0.0	0.0	17.550758645513195	27875.0	10.72769484	28315237.0	0.25239609375	89563.0	0.0	0.0	0.0	1267761.5	40640955016.576485	6440895.954	13678725.0	168563.0	39083.0	2730066.0	55594094.0	3391.560723666	627.0
2015-01-03	315.209991	315.829987	284.890015	287.130005	14209564	2.66	2.66	2.17	2.18	1539198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	1.72	1.72	1.72	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2734236.0	0.0	0.0	0.0
2015-01-04	287.130005	289.940002	255.86999500000002	264.72000099999997	24255392	2.18	2.2	1.89	1.95	1748672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	1.72	1.72	1.72	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85570.0	0.0	335365.2900920246	1193920.56098825	0.0	3708212136.75	1.37606575891662	0.0	0.0	79818.0	8.033333333333333	1.0	0.0	13.202969498656072	27971.0	20.28810703	82102043.0	0.2960364277108434	303038.0	0.0	0.0	0.0	1129778.1	40640955016.576485	53104792.2513	13686975.0	206228.0	48874.0	2738654.0	55762496.0	5496.6568376379	692.0
2015-01-05	264.72000099999997	278.320007	262.890015	274.839996	14995382	1.95	2.17	1.94	2.11	2273109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	1.72	1.6	1.6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2743273.0	0.0	0.0	0.0
2015-01-06	274.839996	285.109985	271.519989	282.269989	6097640	2.11	2.13	2.03	2.1	1791736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.6	1.6	1.6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87160.0	0.0	317182.8346051076	1113410.3733558	0.0	3790803680.0	1.9297223161857369	0.0	0.0	79804.0	7.633333333333334	1.0	0.0	12.503001376778341	28073.0	12.85666757	56472457.0	0.3143204585987261	204019.0	0.0	0.0	0.0	1089761.6	40640955016.576485	22161280.1128	13695100.0	179154.0	47820.0	2747920.0	55943409.0	3558.7255833760005	639.0
2015-01-07	282.269989	296.059998	280.73999	291.339996	8827164	2.1	2.16	2.06	2.11	2504600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.6	1.6	1.6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2752885.0	0.0	0.0	0.0
2015-01-08	291.339996	292.709991	278.98999	282.690002	5796312	2.11	2.12	1.99	2.0	1977972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.6	1.6	1.6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99126.0	0.0	272736.832303755	1220111.03672496	0.0	3792762040.0	1.8209145518444148	0.0	0.0	89016.0	9.716666666666667	2.0	0.0	9.463462663680568	28176.0	14.45388694	51516706.0	0.3905257259259259	186115.0	0.0	0.0	0.0	938075.2	40640955016.576485	0.0	13702175.0	186319.0	51405.0	2757765.0	56135447.0	4000.835904992001	943.0
2015-01-09	282.690002	290.589996	277.27999900000003	287.97000099999997	5963203	2.0	2.01	1.94	1.98	1519433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.6	1.6	1.6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15772001.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16411870.6472	0.0	0.0	0.0	2763084.0	0.0	0.0	0.0
2015-01-10	287.97000099999997	289.25	271.980011	273.350006	4147357	1.98	1.99	1.55	1.63	982939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.6	1.6	1.6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105895.0	0.0	284858.46929503296	1161365.52865211	0.0	3811241000.0	1.424347078138701	0.0	0.0	96782.0	8.616666666666667	1.0	0.0	9.293356626847348	28293.0	15.44061914	69092710.0	0.4182098368794327	248535.0	0.0	0.0	0.0	984120.0	40640955016.576485	0.0	13709500.0	251092.0	43989.0	2768262.0	56346553.0	4292.49212092	833.0
